Color Name,R;G;B Dec,RGB Hex
gray,99;86;136,635688
blue,240;248;255,F0F8FF
blue,138;43;226,8A2BE2
blue,95;159;159,5F9F9F
blue,95;158;160,5F9EA0
blue,95;158;160,5F9EA0
blue,152;245;255,98F5FF
blue,142;229;238,8EE5EE
blue,122;197;205,7AC5CD
blue,83;134;139,53868B
blue,66;66;111,42426F
blue,100;149;237,6495ED
blue,72;61;139,483D8B
blue,0;206;209,00CED1
blue,0;191;255,00BFFF
blue,0;191;255,00BFFF
blue,0;178;238,00B2EE
blue,0;154;205,009ACD
blue,0;104;139,00688B
blue,30;144;255,1E90FF
blue,30;144;255,1E90FF
blue,28;134;238,1C86EE
blue,24;116;205,1874CD
blue,16;78;139,104E8B
LightBlue,173;216;230,ADD8E6
LightBlue,191;239;255,BFEFFF
LightBlue,178;223;238,B2DFEE
LightBlue,154;192;205,9AC0CD
LightBlue,104;131;139,68838B
LightBlue,224;255;255,E0FFFF
LightBlue,224;255;255,E0FFFF
LightBlue,209;238;238,D1EEEE
LightBlue,180;205;205,B4CDCD
LightBlue,122;139;139,7A8B8B
LightBlue,135;206;250,87CEFA
LightBlue,176;226;255,B0E2FF
LightBlue,164;211;238,A4D3EE
LightBlue,141;182;205,8DB6CD
LightBlue,96;123;139,607B8B
LightBlue,132;112;255,8470FF
LightBlue,176;196;222,B0C4DE
LightBlue,202;225;255,CAE1FF
LightBlue,188;210;238,BCD2EE
LightBlue,162;181;205,A2B5CD
LightBlue,110;123;139,6E7B8B
LightBlue,112;219;147,70DB93
blue,0;0;205,0000CD
blue,123;104;238,7B68EE
blue,72;209;204,48D1CC
blue,25;25;112,191970
blue,0;0;128,80
LightBlue,175;238;238,AFEEEE
LightBlue,187;255;255,BBFFFF
LightBlue,174;238;238,AEEEEE
LightBlue,150;205;205,96CDCD
LightBlue,102;139;139,668B8B
LightBlue,176;224;230,B0E0E6
blue,65;105;225,4.17E+04
blue,72;118;255,4876FF
blue,67;110;238,436EEE
blue,58;95;205,3A5FCD
blue,39;64;139,27408B
blue,0;34;102,2266
LightBlue,135;206;235,87CEEB
LightBlue,135;206;255,87CEFF
LightBlue,126;192;238,7EC0EE
LightBlue,108;166;205,6CA6CD
LightBlue,74;112;139,4A708B
LightBlue,106;90;205,6A5ACD
LightBlue,131;111;255,836FFF
LightBlue,122;103;238,7A67EE
LightBlue,105;89;205,6959CD
LightBlue,71;60;139,473C8B
blue,70;130;180,4682B4
blue,99;184;255,63B8FF
blue,92;172;238,5CACEE
blue,79;148;205,4F94CD
blue,54;100;139,36648B
LightBlue,127;255;212,7FFFD4
LightBlue,127;255;212,7FFFD4
LightBlue,118;238;198,76EEC6
LightBlue,102;205;170,66CDAA
LightBlue,69;139;116,458B74
blue,240;255;255,F0FFFF
blue,240;255;255,F0FFFF
blue,224;238;238,E0EEEE
blue,193;205;205,C1CDCD
blue,131;139;139,838B8B
blue,0;0;255,0000FF
blue,0;0;255,0000FF
blue,0;0;238,0000EE
blue,0;0;205,0000CD
blue,0;0;139,00008B
green,0;255;255,00FFFF
blue,3;180;204,03B4CC
LightBlue,0;255;255,00FFFF
LightBlue,0;255;255,00FFFF
LightBlue,0;238;238,00EEEE
LightBlue,0;205;205,00CDCD
LightBlue,0;139;139,008B8B
blue,0;0;128,80
blue,0;128;128,8080
LightBlue,64;224;208,40E0D0
LightBlue,0;245;255,00F5FF
LightBlue,0;229;238,00E5EE
LightBlue,0;197;205,00C5CD
LightBlue,0;134;139,00868B
gray,47;79;79,2F4F4F
gray,151;255;255,97FFFF
gray,141;238;238,8DEEEE
gray,121;205;205,79CDCD
gray,82;139;139,528B8B
gray,36;24;130,241882
blue,112;147;219,7093DB
blue,127;0;255,7F00FF
blue,112;219;219,70DBDB
blue,47;47;79,2F2F4F
LightBlue,35;35;142,23238E
blue,77;77;255,4D4DFF
blue,0;0;156,00009C
blue,89;89;171,5959AB
LightBlue,50;153;204,3299CC
blue,0;127;255,007FFF
LightBlue,56;176;222,38B0DE
blue,3;180;200,03B4C8
blue,65;86;197,4156C5
pink,188;143;143,BC8F8F
pink,255;193;193,FFC1C1
pink,238;180;180,EEB4B4
pink,205;155;155,CD9B9B
pink,139;105;105,8B6969
beige,139;69;19,8B4513
beige,244;164;96,F4A460
beige,245;245;220,F5F5DC
brown,165;42;42,A52A2A
brown,166;42;42,A62A2A
brown,255;64;64,FF4040
brown,238;59;59,EE3B3B
brown,205;51;51,CD3333
brown,139;35;35,8B2323
brown,92;64;51,5C4033
brown,222;184;135,DEB887
brown,255;211;155,FFD39B
brown,238;197;145,EEC591
brown,205;170;125,CDAA7D
brown,139;115;85,8B7355
brown,92;51;23,5C3317
brown,210;105;30,D2691E
brown,255;127;36,FF7F24
brown,238;118;33,EE7621
brown,205;102;29,CD661D
brown,139;69;19,8B4513
orange,205;133;63,CD853F
beige,210;180;140,D2B48C
beige,255;165;79,FFA54F
beige,238;154;73,EE9A49
beige,205;133;63,CD853F
beige,139;90;43,8B5A2B
brown,151;105;79,97694F
brown,133;94;66,8.55E+44
brown,133;99;99,856363
brown,166;128;100,A68064
beige,235;199;158,EBC79E
brown,107;66;38,6B4226
beige,142;107;35,8E6B23
beige,219;147;112,DB9370
brown,92;64;51,5C4033
green,47;79;47,2F4F2F
green,0;100;0,6400
green,74;118;110,4A766E
green,189;183;107,BDB76B
green,85;107;47,556B2F
green,202;255;112,CAFF70
green,188;238;104,BCEE68
green,162;205;90,A2CD5A
green,110;139;61,6E8B3D
green,128;128;0,808000
green,143;188;143,8FBC8F
green,193;255;193,C1FFC1
green,180;238;180,B4EEB4
green,155;205;155,9BCD9B
green,105;139;105,698B69
green,34;139;34,228B22
green,173;255;47,ADFF2F
green,124;252;0,7CFC00
green,32;178;170,20B2AA
green,50;205;50,32CD32
green,60;179;113,3CB371
green,0;250;154,00FA9A
green,245;255;250,F5FFFA
green,107;142;35,6B8E23
green,192;255;62,C0FF3E
green,179;238;58,B3EE3A
green,154;205;50,9ACD32
green,105;139;34,698B22
green,152;251;152,98FB98
green,154;255;154,9AFF9A
green,144;238;144,90EE90
green,124;205;124,7CCD7C
green,84;139;84,548B54
green,46;139;87,2E8B57
green,84;255;159,54FF9F
green,78;238;148,4EEE94
green,67;205;128,43CD80
green,0;255;127,00FF7F
green,0;255;127,00FF7F
green,0;238;118,00EE76
green,0;205;102,00CD66
green,0;139;69,008B45
green,154;205;50,9ACD32
green,127;255;0,7FFF00
green,127;255;0,7FFF00
green,118;238;0,76EE00
green,102;205;0,66CD00
green,69;139;0,458B00
green,0;255;0,00FF00
green,0;128;0,8000
yellow,0;255;0,00FF00
green,0;255;0,00FF00
green,0;238;0,00EE00
green,0;205;0,00CD00
green,0;139;0,008B00
beige,240;230;140,F0E68C
beige,255;246;143,FFF68F
beige,238;230;133,EEE685
beige,205;198;115,CDC673
beige,139;134;78,8B864E
green,79;79;47,4F4F2F
green,209;146;117,D19275
green,142;35;35,8E2323
green,35;142;35,2.38E+25
green,219;219;112,DBDB70
green,66;111;66,426F42
green,127;255;0,7FFF00
green,143;188;143,8FBC8F
green,35;142;104,2.38E+70
green,0;255;127,00FF7F
green,9;249;17,09F911
green,2;157;116,029D74
orange,255;140;0,FF8C00
orange,255;127;0,FF7F00
orange,238;118;0,EE7600
orange,205;102;0,CD6600
orange,139;69;0,8B4500
orange,233;150;122,E9967A
orange,240;128;128,F08080
orange,255;160;122,FFA07A
orange,255;160;122,FFA07A
orange,238;149;114,EE9572
orange,205;129;98,CD8162
orange,139;87;66,8B5742
orange,255;218;185,FFDAB9
orange,255;218;185,FFDAB9
orange,238;203;173,EECBAD
orange,205;175;149,CDAF95
orange,139;119;101,8B7765
orange,255;228;196,FFE4C4
orange,255;228;196,FFE4C4
orange,238;213;183,EED5B7
orange,205;183;158,CDB79E
orange,139;125;107,8B7D6B
orange,255;127;0,FF7F00
orange,255;127;80,FF7F50
orange,255;114;86,FF7256
orange,238;106;80,EE6A50
orange,205;91;69,CD5B45
orange,139;62;47,8B3E2F
gray,240;255;240,F0FFF0
gray,240;255;240,F0FFF0
gray,224;238;224,E0EEE0
gray,193;205;193,C1CDC1
gray,131;139;131,838B83
orange,255;165;0,FFA500
orange,255;165;0,FFA500
orange,238;154;0,EE9A00
orange,205;133;0,CD8500
orange,139;90;0,8B5A00
orange,250;128;114,FA8072
orange,255;140;105,FF8C69
orange,238;130;98,EE8262
orange,205;112;84,CD7054
orange,139;76;57,8B4C39
beige,160;82;45,A0522D
beige,255;130;71,FF8247
beige,238;121;66,EE7942
beige,205;104;57,CD6839
beige,139;71;38,8B4726
orange,142;35;35,8E2323
orange,255;127;0,FF7F00
orange,255;36;0,FF2400
pink,255;20;147,FF1493
pink,255;20;147,FF1493
pink,238;18;137,EE1289
pink,205;16;118,CD1076
pink,139;10;80,8B0A50
pink,255;105;180,FF69B4
pink,255;110;180,FF6EB4
pink,238;106;167,EE6AA7
pink,205;96;144,CD6090
pink,139;58;98,8B3A62
red,205;92;92,CD5C5C
red,255;106;106,FF6A6A
red,238;99;99,EE6363
red,205;85;85,CD5555
red,139;58;58,8B3A3A
pink,255;182;193,FFB6C1
pink,255;174;185,FFAEB9
pink,238;162;173,EEA2AD
pink,205;140;149,CD8C95
pink,139;95;101,8B5F65
pink,199;21;133,C71585
pink,255;228;225,FFE4E1
pink,255;228;225,FFE4E1
pink,238;213;210,EED5D2
pink,205;183;181,CDB7B5
pink,139;125;123,8B7D7B
red,255;69;0,FF4500
red,255;69;0,FF4500
red,238;64;0,EE4000
brown,205;55;0,CD3700
brown,139;37;0,8B2500
pink,219;112;147,DB7093
pink,255;130;171,FF82AB
pink,238;121;159,EE799F
pink,205;104;137,CD6889
pink,139;71;93,8B475D
pink,208;32;144,D02090
pink,255;62;150,FF3E96
pink,238;58;140,EE3A8C
pink,205;50;120,CD3278
pink,139;34;82,8B2252
red,178;34;34,B22222
red,255;48;48,FF3030
red,238;44;44,EE2C2C
red,205;38;38,CD2626
red,139;26;26,8B1A1A
pink,255;192;203,FFC0CB
pink,255;181;197,FFB5C5
pink,238;169;184,EEA9B8
pink,205;145;158,CD919E
pink,139;99;108,8B636C
beige,245;204;176,F5CCB0
beige,209;146;117,D19275
red,255;0;0,FF0000
red,255;0;0,FF0000
red,238;0;0,EE0000
red,205;0;0,CD0000
red,139;0;0,8B0000
red,255;99;71,FF6347
red,255;99;71,FF6347
red,238;92;66,EE5C42
red,205;79;57,CD4F39
red,139;54;38,8B3626
purple,133;99;99,856363
red,142;35;35,8E2323
red,245;204;176,F5CCB0
pink,188;143;143,BC8F8F
orange,111;66;66,6F4242
red,140;23;23,8C1717
pink,255;28;174,FF1CAE
purple,227;91;216,E35BD8
purple,192;0;0,C00000
purple,153;50;204,9932CC
purple,191;62;255,BF3EFF
purple,178;58;238,B23AEE
purple,154;50;205,9A32CD
purple,104;34;139,68228B
purple,148;0;211,9400D3
purple,255;240;245,FFF0F5
purple,255;240;245,FFF0F5
purple,238;224;229,EEE0E5
purple,205;193;197,CDC1C5
purple,139;131;134,8B8386
purple,186;85;211,BA55D3
purple,224;102;255,E066FF
purple,209;95;238,D15FEE
purple,180;82;205,B452CD
purple,122;55;139,7A378B
purple,147;112;219,9370DB
purple,147;112;219,9370DB
purple,171;130;255,AB82FF
purple,153;50;205,9932CD
purple,159;121;238,9F79EE
purple,137;104;205,8968CD
purple,93;71;139,5D478B
purple,230;230;250,E6E6FA
purple,255;0;255,FF00FF
pink,255;0;255,FF00FF
purple,255;0;255,FF00FF
purple,238;0;238,EE00EE
purple,205;0;205,CD00CD
purple,139;0;139,8B008B
pink,176;48;96,B03060
pink,255;52;179,FF34B3
pink,238;48;167,EE30A7
pink,205;41;144,CD2990
pink,139;28;98,8B1C62
purple,218;112;214,DA70D6
purple,219;112;219,DB70DB
purple,255;131;250,FF83FA
purple,238;122;233,EE7AE9
purple,205;105;201,CD69C9
purple,139;71;137,8B4789
purple,221;160;221,DDA0DD
purple,255;187;255,FFBBFF
purple,238;174;238,EEAEEE
purple,205;150;205,CD96CD
purple,139;102;139,8B668B
purple,160;32;240,A020F0
purple,128;0;128,800080
purple,155;48;255,9B30FF
purple,145;44;238,912CEE
purple,125;38;205,7D26CD
purple,85;26;139,551A8B
purple,216;191;216,D8BFD8
purple,255;225;255,FFE1FF
purple,238;210;238,EED2EE
purple,205;181;205,CDB5CD
purple,139;123;139,8B7B8B
purple,238;130;238,EE82EE
purple,159;95;159,9F5F9F
purple,135;31;120,871F78
purple,128;0;0,800000
purple,219;112;147,DB7093
pink,255;110;199,FF6EC7
purple,234;173;234,EAADEA
purple,216;191;216,D8BFD8
LightBlue,173;234;234,ADEAEA
purple,79;47;79,4F2F4F
purple,204;50;153,CC3299
beige,250;235;215,FAEBD7
beige,255;239;219,FFEFDB
beige,238;223;204,EEDFCC
beige,205;192;176,CDC0B0
beige,139;131;120,8B8378
beige,255;250;240,FFFAF0
beige,248;248;255,F8F8FF
beige,255;222;173,FFDEAD
beige,255;222;173,FFDEAD
beige,238;207;161,EECFA1
beige,205;179;139,CDB38B
beige,139;121;94,8B795E
white,253;245;230,FDF5E6
white,245;245;245,F5F5F5
gray,220;220;220,DCDCDC
white,255;255;240,FFFFF0
white,255;255;240,FFFFF0
white,238;238;224,EEEEE0
gray,205;205;193,CDCDC1
gray,139;139;131,8B8B83
beige,250;240;230,FAF0E6
white,255;245;238,FFF5EE
beige,255;245;238,FFF5EE
beige,238;229;222,EEE5DE
gray,205;197;191,CDC5BF
gray,139;134;130,8B8682
white,255;250;250,FFFAFA
white,255;250;250,FFFAFA
white,238;233;233,EEE9E9
white,205;201;201,CDC9C9
white,139;137;137,8B8989
beige,245;222;179,F5DEB3
beige,255;231;186,FFE7BA
beige,238;216;174,EED8AE
beige,205;186;150,CDBA96
brown,139;126;102,8B7E66
white,255;255;255,FFFFFF
LightBlue,217;217;243,D9D9F3
gray,216;216;191,D8D8BF
pink,255;235;205,FFEBCD
orange,184;134;11,B8860B
orange,255;185;15,FFB90F
orange,238;173;14,EEAD0E
orange,205;149;12,CD950C
orange,139;101;8,8B6508
beige,255;250;205,FFFACD
beige,255;250;205,FFFACD
beige,238;233;191,EEE9BF
beige,205;201;165,CDC9A5
beige,139;137;112,8B8970
yellow,238;221;130,EEDD82
yellow,255;236;139,FFEC8B
yellow,238;220;130,EEDC82
beige,205;190;112,CDBE70
beige,139;129;76,8B814C
beige,250;250;210,FAFAD2
beige,255;255;224,FFFFE0
beige,255;255;224,FFFFE0
gray,238;238;209,EEEED1
gray,205;205;180,CDCDB4
gray,139;139;122,8B8B7A
beige,238;232;170,EEE8AA
beige,255;239;213,FFEFD5
beige,255;248;220,FFF8DC
beige,255;248;220,FFF8DC
beige,238;232;205,EEE8CD
gray,205;200;177,CDC8B1
gray,139;136;120,8B8878
yellow,218;165;32,DAA520
yellow,255;193;37,FFC125
yellow,238;180;34,EEB422
yellow,205;155;29,CD9B1D
yellow,139;105;20,8B6914
yellow,255;228;181,FFE4B5
yellow,255;255;0,FFFF00
yellow,255;255;0,FFFF00
yellow,238;238;0,EEEE00
yellow,205;205;0,CDCD00
yellow,139;139;0,8B8B00
yellow,255;215;0,FFD700
yellow,255;215;0,FFD700
yellow,238;201;0,EEC900
yellow,205;173;0,CDAD00
yellow,139;117;0,8B7500
green,219;219;112,DBDB70
beige,234;234;174,EAEAAE
green,153;204;50,99CC32
brown,184;115;51,B87333
orange,217;135;25,D98719
purple,133;99;99,856363
green,181;166;66,B5A642
brown,140;120;83,8C7853
brown,166;125;61,A67D3D
green,217;217;25,D9D919
green,207;181;59,CFB53B
brown,204;153;0,CC9900
orange,205;127;50,CD7F32
LightBlue,230;232;250,E6E8FA
gray,192;192;192,C0C0C0
gray,84;84;84,545454
blue,35;107;142,236B8E
